;MATRÍCULA;end;LAT;LNG
3889;234782;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3890;234783;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3891;234785;AVENIDA LEOPOLDO DEDINI, 1363 - UNILESTE PIRACICABA-SP;-22.7280558;-47.5870621
3892;234787;RUA ORFANOTROFIO, 555 - CRISTAL PORTO ALEGRE-RS;-30.0798317;-51.2196728
3893;234789;RUA NORMA PIERUCCINI GIANNOTTI, 327 - BARRA FUNDA SAO PAULO-SP;-23.5233334;-46.6536948
3894;234790;AVENIDA BRASIL, 263 - VILA MEDON AMERICANA-SP;-22.7454629;-47.3339153
3895;234791;RODOVIA BR-230 (TRANSAMAZONICA), S/N - NOVA MARABA MARABA-PA;-5.3586279;-49.0843081
3896;234792;AVENIDA BOSQUE DA SAUDE, 1926 - SAUDE SAO PAULO-SP;-23.6135749;-46.6203252
3897;234793;VIA ANHANGUERA KM 98, S/N - VILA BOA VISTA CAMPINAS-SP;-22.8972336;-47.1189511
3898;234794;AVENIDA ALBERT EINSTEIN, 627/701 - JARDIM LEONOR SAO PAULO-SP;-23.6002008;-46.7153048
3899;234795;AVENIDA LEOPOLDO DEDINI, 1363 - UNILESTE PIRACICABA-SP;-22.7280558;-47.5870621
3900;234796;RUA CAMPOS SALES, 1160 - VILA BOA VISTA BARUERI-SP;-23.5029295;-46.8780834
3901;234797;;42.2780436;-83.7382241
3902;234798;RUA MACEDO SOBRINHO, 21 - HUMAITA RIO DE JANEIRO-RJ;-22.957929;-43.1983377
3903;234799;RODOVIA PRESIDENTE DUTRA, 2660 E ANEXOS, 2660 - PAVUNA RIO DE JANEIRO-RJ;-22.8081178;-43.3385401
3904;234800;Rua Alexandre Dumas, 2200 - Chacara Santo Antonio SAO PAULO-SP;-23.6276441;-46.7107246
3905;234801;RUA PAULA BUENO, 2935 - ALVORADA MOGI GUAÇU;-22.3605172;-46.917963
3906;234802;Rua Alexandre Dumas, 2200 - Chacara Santo Antonio SAO PAULO-SP;-23.6276441;-46.7107246
3907;234803;RUA BARAO DE LADARIO, 670 - BRAS SAO PAULO-SP;-23.5368961;-46.6185066
3908;234804;VIA ANHANGUERA KM 98, S/N - VILA BOA VISTA CAMPINAS-SP;-22.8972336;-47.1189511
3909;234805;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3910;234806;Avenida Unisinos, 950 - São João Batista SAO LEOPOLDO-RS;-29.79486009999999;-51.1510739
3911;234808;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3912;234812;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3913;234813;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3914;234815;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3915;234824;RUA ATILIO ANDREAZZA, 3520 - SAGRADA FAMILIA CAXIAS DO SUL-RS;-29.148778;-51.15758599999999
3916;234742;Avenida Lauro Sodré, 445 - Botafogo RIO DE JANEIRO-RJ;-22.957067;-43.1766477
3917;234826;RUA DR RICARDO BENETTON MARTINS, 1000 - BOSQUE DAS PALMEIRAS CAMPINAS-SP;-22.816227;-47.04512099999999
3918;234827;AVENIDA TRAJANO DE ARAUJO VIANA, 2500 - CINCO CONTAGEM-MG;-19.939331;-44.068454
3919;234828;RUA PROFESSOR ANTONIO PRUDENTE, 211 - LIBERDADE SAO PAULO-SP;-23.5650618;-46.637693
3920;234829;Avenida Lauro Sodré, 445 - Botafogo RIO DE JANEIRO-RJ;-22.957067;-43.1766477
3921;234830;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3922;234833;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3923;234834;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3924;234835;AVENIDA AMERICAS, DAS - Village Mall, 3900 - BARRA DA TIJUCA RIO DE JANEIRO-RJ;-22.9984349;-43.3512508
3925;234836;AVENIDA TRAJANO DE ARAUJO VIANA, 2500 - CINCO CONTAGEM-MG;-19.939331;-44.068454
3926;234837;RUA PAULA BUENO, 2935 - ALVORADA MOGI GUAÇU;-22.3605172;-46.917963
3927;234838;AVENIDA LEOPOLDO DEDINI, 1363 - UNILESTE PIRACICABA-SP;-22.7280558;-47.5870621
